key,2021.09.17.0000.0000,2021.10.26.0000.0000,2021.11.28.0000.0000,2021.12.16.0000.0000,2021.12.24.0000.0000,2022.01.06.0000.0000,2022.01.25.0000.0000
MarketBoardSearchResult,0x03BA,0x00F1,0x0201,0x01E4,0x0213,0x03E5,0x00B2

NpcSpawn,0x0242,0x03B4,0x032E,0x039E,0x01D2,0x00AA,0x032C

ObjectDespawn,,,,,0x0227,,0x0082

ObjectSpawn,0x0174,0x03D0,0x0319,0x0269,0x01FD,0x0306,0x03A3

PlaceFieldMarker,0x0303,0x01F6,0x037D,0x01CD,0x00FD,0x02DC,0x0067

PlaceFieldMarkerPreset,0x032B,0x00CB,0x01CF,0x0076,0x0067,0x0104,0x01FE

PlayerSetup,0x01E2,0x0194,0x008B,0x00C5,0x03DD,0x00EA,0x0261

PlayerSpawn,0x01EB,0x00F9,0x0133,0x00F7,0x0338,0x00F1,0x0226

PlayerStats,0x03A0,0x017F,0x038D,0x024B,0x018C,0x0142,0x02C7

Playtime,0x01C1,0x0255,0x03C3,0x03B6,0x039F,0x0351,0x00CE

PrepareZoning,0x01BD,0x02D8,0x0090,0x02AC,0x01DD,0x0345,0x039A

PublicMessage,0x0145,,,,,,

ResultDialog,0x0243,0x0217,0x00AF,0x0330,0x0273,0x0237,0x027C

RetainerInformation,0x03B6,0x008E,0x0129,0x03A9,0x0318,0x0323,0x023B

SomeDirectorUnk4,0x03C5,0x0202,0x0164,0x0159,0x027A,,0x00EF

StatusEffectList,0x0347,0x015E,0x02C5,0x02D2,0x0188,0x0126,0x00BC

StatusEffectList2,0x013D,0x0296,,0x0256,0x0293,0x0160,

StatusEffectList3,,,,0x0106,0x0353,,

SubmarineExplorationResult,0x0311,0x026A,0x0183,0x03BF,0x0128,0x02B9,0x00C9

SubmarineProgressionStatus,0x009A,0x00A5,0x030B,0x009C,0x0121,0x033A,0x0092

SubmarineStatusList,0x0120,0x0176,0x02F4,0x010E,0x03A9,0x00AF,0x019D

SubmarineTimers,,,0x00F5,0x006C,0x0211,,0x034A

SystemLogMessage,0x03C5,0x0202,,,,0x030B,

TripleTriadGameData,0x023D,0x030E,,,,0x01C3,

TripleTriadGameDesc,0x026F,0x0169,,,,0x032A,

TripleTriadPlaceCardRecv,0x0157,0x0101,,,,0x038D,

UpdateClassInfo,0x02AA,0x0192,0x03A5,0x01B9,0x0202,0x03AB,0x00FE

UpdateHpMpTp,0x03DA,0x0153,0x0296,0x02B1,0x00F4,0x03C8,0x02C9

UpdateInventorySlot,0x01A1,0x027C,0x02B6,0x0131,0x027E,0x0183,0x0375

UpdateSearchInfo,0x00BD,0x013F,,0x00F1,0x01E3,0x01D8,0x03D1

WardLandInfo,0x0249,0x0292,,,0x156,0x01AA,

WeatherChange,,,0x01FD,0x01FD,0x028A,,0x017D

